,title,author,url,page_count,price,currently_reading_count,wanting_to_read_count,average_rating,amount_rating,publishing_year
186,"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,/book/show/42201431-the-unhoneymooners,432,Unlimited,27800.0,719000.0,3.91,930730,2019
187,Jonathan Strange & Mr Norrell (Paperback),Susanna Clarke,/book/show/14201.Jonathan_Strange_Mr_Norrell,1006,9.00,16700.0,277000.0,3.86,240701,2004
188,"Daughter of the Moon Goddess (The Celestial Kingdom, #1)",Sue Lynn Tan,/book/show/57789637-daughter-of-the-moon-goddess,503,,9425.0,380000.0,4.1,96319,2022
189,Station Eleven (Hardcover),Emily St. John Mandel,/book/show/20170404-station-eleven,333,12.99,24800.0,499000.0,4.07,542266,2014
190,"The Magicians (The Magicians, #1)",Lev Grossman,/book/show/6101718-the-magicians,402,,12600.0,237000.0,3.53,266972,2009
191,"Jade City (The Green Bone Saga, #1)",Fonda Lee,/book/show/43587154-jade-city,540,,11500.0,,4.09,75930,2017
192,The Alchemist (Paperback),Paulo Coelho,/book/show/18144590-the-alchemist,182,Unlimited,85600.0,2000000.0,3.91,3176943,1988
193,Malibu Rising (Hardcover),Taylor Jenkins Reid,/book/show/55404546-malibu-rising,369,12.99,43000.0,922000.0,4.04,1109032,2021
194,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,352,,118.0,4448.0,3.92,1289095,2011
195,Crying in H Mart (Hardcover),Michelle Zauner,/book/show/54814676-crying-in-h-mart,239,13.99,33800.0,584000.0,4.26,466191,2021
196,The Girl on the Train (Hardcover),Paula Hawkins,/book/show/22557272-the-girl-on-the-train,336,12.99,47200.0,1000000.0,3.96,3030599,2015
197,House of Leaves (Paperback),Mark Z. Danielewski,/book/show/24800.House_of_Leaves,710,on,29300.0,551000.0,4.09,177088,2000
198,"Ready Player One (Ready Player One, #1)",Ernest Cline,/book/show/9969571-ready-player-one,374,,34900.0,602000.0,4.23,1203311,2011
199,"Throttled (Dirty Air, #1)",Lauren Asher,/book/show/206023355-throttled,378,,12700.0,204000.0,3.79,200269,2020
200,"The Cheat Sheet (The Cheat Sheet, #1)",Sarah       Adams,/book/show/58100280-the-cheat-sheet,306,13.99,7352.0,259000.0,3.72,271952,2021
201,The Nightingale (Hardcover),Kristin Hannah,/book/show/21853621-the-nightingale,564,11.99,91100.0,1000000.0,4.63,1511479,2015
202,"The Ashes & the Star-Cursed King (Crowns of Nyaxia, #2)",Carissa Broadbent,/book/show/62335396-the-ashes-the-star-cursed-king,665,,34300.0,220000.0,4.14,247363,2023
203,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,/book/show/1232.The_Shadow_of_the_Wind,487,,32299.999999999996,570000.0,4.3,656131,2001
204,"The Fellowship of the Ring (Middle Earth, #1)",J.R.R. Tolkien,/book/show/61215351-the-fellowship-of-the-ring,432,,84900.0,808000.0,4.39,2865086,1954
205,"Say You Swear (Boys of Avix, #1)",Meagan Brandy,/book/show/58925247-say-you-swear,681,,18100.0,214000.0,4.31,156695,2022
206,Anna Karenina (Paperback),Leo Tolstoy,/book/show/15823480-anna-karenina,964,0.99,92500.0,1000000.0,4.09,867408,1878
207,Fairy Tale (Hardcover),Stephen         King,/book/show/60177373-fairy-tale,599,9.99,38600.0,307000.0,4.1,268470,2022
208,Verity (ebook),Colleen Hoover,/book/show/59344312-verity,336,13.99,91300.0,1000000.0,4.31,2990273,2018
209,Demon Copperhead (Hardcover),Barbara Kingsolver,/book/show/60194162-demon-copperhead,560,12.99,70800.0,550000.0,4.5,505021,2022
210,"The Wicked King (The Folk of the Air, #2)",Holly Black,/book/show/26032887-the-wicked-king,336,,32200.000000000004,432000.0,4.29,847086,2019
211,The Lost Apothecary (Hardcover),Sarah Penner,/book/show/53288434-the-lost-apothecary,301,14.99,16300.0,442000.0,3.75,400508,2021
212,"To Kill a Kingdom (Hundred Kingdoms, #1)",Alexandra Christo,/book/show/34499221-to-kill-a-kingdom,344,,7573.0,389000.0,3.73,191874,2018
213,"Lightlark (Lightlark, #1)",Alex Aster,/book/show/60310757-lightlark,416,,14500.0,408000.0,3.83,158355,2022
214,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America (Hardcover)",Erik Larson,/book/show/397483.The_Devil_in_the_White_City,464,13.99,34800.0,528000.0,4.0,701622,2003
215,"The Kiss of Deception (The Remnant Chronicles, #1)",Mary E. Pearson,/book/show/16429619-the-kiss-of-deception,492,,6561.0,245000.0,3.93,146315,2014
216,"The Duke and I (Bridgertons, #1)",Julia Quinn,/book/show/110391.The_Duke_and_I,384,,56100.0,307000.0,3.79,594196,2000
217,Tender Is the Flesh (Paperback),Agustina Bazterrica,/book/show/49090884-tender-is-the-flesh,209,13.99,14600.0,344000.0,3.79,245039,2017
218,Emma (Paperback),Jane Austen,/book/show/6969.Emma,474,3.99,57600.0,855000.0,4.05,907547,1815
219,"Graceling (Graceling Realm, #1)",Kristin Cashore,/book/show/3236307-graceling,471,,9571.0,441000.0,4.07,467813,2008
220,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,/book/show/8490112-daughter-of-smoke-bone,418,,7726.0,427000.0,3.99,374398,2011
221,Court of the Vampire Queen (Paperback),Katee Robert,/book/show/60338559-court-of-the-vampire-queen,496,Unlimited,10500.0,85100.0,3.38,58444,2022
222,Cloud Cuckoo Land (Hardcover),Anthony Doerr,/book/show/56783258-cloud-cuckoo-land,626,13.99,39300.0,367000.0,4.26,229938,2021
223,"The Shadows Between Us (The Shadows Between Us, #1)",Tricia Levenseller,/book/show/35702241-the-shadows-between-us,326,Unlimited,6319.0,318000.0,3.84,186594,2020
224,Little Fires Everywhere (Hardcover),Celeste Ng,/book/show/34273236-little-fires-everywhere,338,11.99,64099.99999999999,799000.0,4.08,1215657,2017
225,Eleanor & Park (Hardcover),Rainbow Rowell,/book/show/15745753-eleanor-park,328,11.99,29200.0,968000.0,3.94,1196085,2012
226,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,/book/show/36381037-cinder,400,,19500.0,952000.0,4.13,949368,2012
227,"The Maze Runner (The Maze Runner, #1)",James Dashner,/book/show/6186357-the-maze-runner,384,,33200.0,739000.0,4.05,1566857,2009
228,"The City We Became (Great Cities, #1)",N.K. Jemisin,/book/show/42074525-the-city-we-became,437,,9583.0,178000.0,3.86,72658,2020
229,Does It Hurt? (Kindle Edition),H.D. Carlton,/book/show/60034351-does-it-hurt,432,Unlimited,22900.0,207000.0,3.92,176025,2022
230,"The Gilded Wolves (The Gilded Wolves, #1)",Roshani Chokshi,/book/show/39863498-the-gilded-wolves,388,,3569.0,196000.0,3.71,48481,2019
231,"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,/book/show/28449207-strange-the-dreamer,532,,7402.0,285000.0,4.28,125429,2017
232,"Matched (Matched, #1)",Ally Condie,/book/show/7735333-matched,369,,12400.0,461000.0,3.62,791803,2010
233,The Catcher in the Rye (Paperback),J.D. Salinger,/book/show/5107.The_Catcher_in_the_Rye,277,9.99,41000.0,1000000.0,3.8,3613597,1951
234,"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,/book/show/211081101-the-bridge-kingdom,448,,9535.0,273000.0,4.04,154802,2018
235,All the Bright Places (Hardcover),Jennifer Niven,/book/show/18460392-all-the-bright-places,378,8.99,19700.0,654000.0,4.12,584235,2015
236,"For the Wolf (Wilderwood, #1)",Hannah F. Whitten,/book/show/53418394-for-the-wolf,437,,4764.0,165000.0,3.61,52981,2021
237,"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,/book/show/60714999-the-serpent-and-the-wings-of-night,504,,44400.0,559000.0,4.32,415343,2022
238,If He Had Been with Me (If He Had Been with Me #1),Laura Nowlin,/book/show/15835031-if-he-had-been-with-me,336,Unlimited,34900.0,424000.0,3.81,414126,2013
239,"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,/book/show/202507554-when-the-moon-hatched,718,,34900.0,343000.0,4.12,91043,2024
240,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,/book/show/40727470-stalking-jack-the-ripper,337,,8566.0,259000.0,3.94,160221,2016
241,You've Reached Sam (Hardcover),Dustin Thao,/book/show/53086843-you-ve-reached-sam,296,11.99,16000.0,266000.0,3.62,142776,2021
242,"Three Dark Crowns (Three Dark Crowns, #1)",Kendare Blake,/book/show/28374007-three-dark-crowns,403,,7722.0,211000.0,3.8,112681,2016
243,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,/book/show/37442.Wicked,406,,17700.0,301000.0,3.54,603257,1995
244,Tom Lake (Hardcover),Ann Patchett,/book/show/63241104-tom-lake,309,15.99,36800.0,375000.0,3.98,346051,2023
245,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,/book/show/54319549-a-kingdom-of-flesh-and-fire,531,,26000.0,37600.0,4.34,448393,2020
246,My Dark Vanessa (Hardcover),Kate Elizabeth Russell,/book/show/44890081-my-dark-vanessa,373,Unlimited,17600.0,459000.0,4.1,356096,2020
247,"Daughter of No Worlds (The War of Lost Hearts, #1)",Carissa Broadbent,/book/show/49826643-daughter-of-no-worlds,520,,17400.0,251000.0,4.04,109671,2020
248,The Vanishing Half (Hardcover),Brit Bennett,/book/show/51791252-the-vanishing-half,343,10.99,48200.0,772000.0,4.14,782343,2020
249,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,/book/show/20518872-the-three-body-problem,472,,51400.0,421000.0,4.08,389517,2006
250,The Great Gatsby (Paperback),F. Scott Fitzgerald,/book/show/4671.The_Great_Gatsby,180,2.99,69200.0,2000000.0,3.93,5386504,1925
251,Crimen y castigo (Paperback),Fyodor Dostoevsky,/book/show/103582.Crimen_y_castigo,544,0.99,108000.0,1000000.0,4.27,940012,1866
252,"Sorcery of Thorns (Sorcery of Thorns, #1)",Margaret  Rogerson,/book/show/42201395-sorcery-of-thorns,456,,6482.0,351000.0,4.05,144931,2019
253,"The Summer I Turned Pretty (Summer, #1)",Jenny Han,/book/show/5821978-the-summer-i-turned-pretty,276,,36600.0,406000.0,3.76,860720,2009
254,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renée Ahdieh,/book/show/18798983-the-wrath-and-the-dawn,416,,5469.0,300000.0,4.05,179670,2015
255,Wrong Place Wrong Time (Hardcover),Gillian McAllister,/book/show/59947696-wrong-place-wrong-time,416,14.99,22300.0,430000.0,3.99,356230,2022
256,The Casual Vacancy (Hardcover),J.K. Rowling,/book/show/13497818-the-casual-vacancy,503,11.99,15500.0,296000.0,3.3,331434,2012
257,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,/book/show/213075476-an-ember-in-the-ashes,480,,11100.0,465000.0,4.25,305931,2015
258,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,480,,35600.0,2000000.0,4.17,3248275,2005
259,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,216,,37900.0,1000000.0,4.23,1885398,1979
260,The Once and Future Witches (Hardcover),Alix E. Harrow,/book/show/49504061-the-once-and-future-witches,517,9.99,9735.0,248000.0,4.04,88662,2020
261,"The Selection (The Selection, #1)",Kiera Cass,/book/show/10507293-the-selection,336,,36400.0,945000.0,4.08,1611674,2012
262,Remarkably Bright Creatures (Hardcover),Shelby Van Pelt,/book/show/58733693-remarkably-bright-creatures,368,20.99,52400.0,697000.0,4.39,722142,2022
263,"Less (Arthur Less, #1)",Andrew Sean Greer,/book/show/39927096-less,273,,28000.0,177000.0,3.63,209918,2017
264,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma (Hardcover)",Bessel van der Kolk,/book/show/18693771-the-body-keeps-the-score,464,14.99,101000.0,41900.0,4.39,206663,2014
265,"Truly, Devious (Truly Devious, #1)",Maureen Johnson,/book/show/29589074-truly-devious,416,,8287.0,293000.0,3.92,158164,2018
266,Yellowface (Hardcover),R.F. Kuang,/book/show/62047984-yellowface,336,14.99,31500.0,800000.0,3.77,616101,2023
267,"Empire of the Vampire (Empire of the Vampire, #1)",Jay Kristoff,/book/show/56269205-empire-of-the-vampire,739,,11700.0,186000.0,4.35,53850,2021
268,"The Stopover (Miles High Club, #1)",T.L. Swan,/book/show/45156972-the-stopover,525,,27300.0,83700.0,4.01,168682,2019
269,The Bell Jar (Paperback),Sylvia Plath,/book/show/6514.The_Bell_Jar,294,Unlimited,50800.0,1000000.0,4.06,1026681,1963
270,The Dead Romantics (Paperback),Ashley Poston,/book/show/58885776-the-dead-romantics,368,6.99,7949.0,281000.0,3.93,181422,2022
271,How to Kill Your Family (Hardcover),Bella Mackie,/book/show/50224049-how-to-kill-your-family,355,9.99,12200.0,136000.0,3.53,142657,2021
272,"Twisted Hate (Twisted, #3)",Ana Huang,/book/show/56688531-twisted-hate,522,,31900.0,354000.0,3.98,537480,2022
273,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,/book/show/11505797-beautiful-disaster,432,,13200.0,552000.0,4.01,694162,2011
274,"Flock (The Ravenhood, #1)",Kate  Stewart,/book/show/40748777-flock,354,,25700.0,288000.0,4.12,179631,2020
275,I'm Glad My Mom Died (ebook),Jennette McCurdy,/book/show/59364173-i-m-glad-my-mom-died,320,14.99,,4931.0,4.46,1135765,2022
276,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,/book/show/22299763-crooked-kingdom,561,,30900.0,512000.0,4.59,675257,2016
277,"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,/book/show/43204703-a-curse-so-dark-and-lonely,484,,6984.0,307000.0,3.97,165889,2019
278,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,/book/show/50659471-a-court-of-frost-and-starlight,232,,52800.0,494000.0,3.75,1466072,2018
279,Educated (Hardcover),Tara Westover,/book/show/35133922-educated,352,14.99,90600.0,1000000.0,4.47,1608995,2018
280,"My Heart Is a Chainsaw (The Indian Lake Trilogy, #1)",Stephen Graham Jones,/book/show/55711617-my-heart-is-a-chainsaw,405,,4572.0,126000.0,3.54,41698,2021
281,Birthday Girl (ebook),Penelope Douglas,/book/show/39555142-birthday-girl,349,Unlimited,23600.0,270000.0,3.94,360132,2018
282,November 9 (Paperback),Colleen Hoover,/book/show/25111004-november-9,310,12.99,36700.0,640000.0,4.13,1165457,2015
283,Lord of the Flies (Paperback),William Golding,/book/show/7624.Lord_of_the_Flies,182,9.99,38500.0,1000000.0,3.7,2973982,1954
284,Romantic Comedy (Hardcover),Curtis Sittenfeld,/book/show/62628727-romantic-comedy,309,12.99,12700.0,235000.0,3.64,206416,2023
285,The Power (Hardcover),Naomi Alderman,/book/show/29751398-the-power,341,11.99,16500.0,,3.76,236933,2016
286,"What Lies Beyond the Veil (Of Flesh & Bone, #1)",Harper L. Woods,/book/show/59339681-what-lies-beyond-the-veil,419,,10900.0,144000.0,3.59,70351,2022
287,Pretty Girls (Paperback),Karin Slaughter,/book/show/25574782-pretty-girls,432,Unlimited,37100.0,554000.0,4.04,486250,2015
288,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,/book/show/58340706-one-dark-window,399,,26800.0,505000.0,4.3,258461,2022
289,How to Sell a Haunted House (Hardcover),Grady Hendrix,/book/show/59414094-how-to-sell-a-haunted-house,419,11.99,6983.0,221000.0,3.68,115829,2023
290,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,/book/show/61242426-legends-lattes,296,,12700.0,248000.0,4.12,223863,2022
291,"And I Darken (The Conqueror's Saga, #1)",Kiersten White,/book/show/27190613-and-i-darken,475,,2841.0,128000.0,3.81,52087,2016
292,"Belladonna (Belladonna, #1)",Adalyn  Grace,/book/show/59227936-belladonna,409,,9600.0,284000.0,4.0,111557,2022
293,"Promises and Pomegranates (Monsters & Muses, #1)",Sav R. Miller,/book/show/55921330-promises-and-pomegranates,382,,12400.0,109000.0,3.52,63666,2021
294,"Things We Hide from the Light (Knockemout, #2)",Lucy Score,/book/show/62022434-things-we-hide-from-the-light,594,,52800.0,480000.0,4.06,406489,2023
295,"Renegades (Renegades, #1)",Marissa Meyer,/book/show/28421168-renegades,552,,10700.0,280000.0,4.12,148936,2017
296,Fangirl (Kindle Edition),Rainbow Rowell,/book/show/16068905-fangirl,483,9.99,14400.0,692000.0,3.95,756642,2013
297,"A Deal with the Elf King (Married to Magic, #1)",Elise Kova,/book/show/55285911-a-deal-with-the-elf-king,317,Unlimited,9744.0,142000.0,3.72,102282,2020
298,"Rhapsodic (The Bargainer, #1)",Laura Thalassa,/book/show/62316279-rhapsodic,423,,11900.0,193000.0,3.92,143594,2016
299,"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,/book/show/56905097-as-good-as-dead,500,,26200.0,373000.0,4.21,409958,2021
300,Never Let Me Go (Paperback),Kazuo Ishiguro,/book/show/6334.Never_Let_Me_Go,288,12.99,27600.0,787000.0,3.85,731783,2005
301,"You (You, #1)",Caroline Kepnes,/book/show/36430011-you,464,,13800.0,327000.0,3.96,256808,2014
302,Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,/book/show/35031085-frankenstein,260,3.60,63000.0,879000.0,3.88,1650396,1818
303,The Stand (Audiobook),Stephen         King,/book/show/87591651-the-stand,Audiobook,9.99,43500.0,483000.0,4.35,778398,1978
304,The Martian (Hardcover),Andy Weir,/book/show/18007564-the-martian,384,8.99,30700.0,637000.0,4.42,1159717,2011
305,The Time Traveler’s Wife (ebook),Audrey Niffenegger,/book/show/18619684-the-time-traveler-s-wife,537,8.99,14800.0,,4.0,1807266,2003
306,Love on the Brain (Kindle Edition),Ali Hazelwood,/book/show/59571699-love-on-the-brain,368,12.99,13400.0,475000.0,3.91,499157,2022
307,Fahrenheit 451 (Kindle Edition),Ray Bradbury,/book/show/13079982-fahrenheit-451,194,12.99,42600.0,1000000.0,3.96,2505531,1953
308,From Lukov with Love (Paperback),Mariana Zapata,/book/show/37683751-from-lukov-with-love,493,Unlimited,10600.0,281000.0,4.22,259839,2018
309,Brave New World (Paperback),Aldous Huxley,/book/show/5129.Brave_New_World,268,4.99,44600.0,1000000.0,3.99,1906398,1932
310,Piranesi (Hardcover),Susanna Clarke,/book/show/50202953-piranesi,272,8.20,15900.0,451000.0,4.23,317305,2020
311,The Woman in the Window (Kindle Edition),A.J. Finn,/book/show/40389527-the-woman-in-the-window,455,Unlimited,40700.0,638000.0,3.95,810250,2018
312,"The Bone Witch (The Bone Witch, #1)",Rin Chupeco,/book/show/30095464-the-bone-witch,411,,5791.0,107000.0,3.69,44377,2017
313,The Paper Palace (Hardcover),Miranda Cowley Heller,/book/show/55994372-the-paper-palace,400,9.99,22300.0,311000.0,3.8,345589,2021
314,An Abundance of Katherines (Kindle Edition),John Green,/book/show/215526423-an-abundance-of-katherines,260,8.99,13800.0,300000.0,3.51,535397,2006
315,The Lovely Bones (Mass Market Paperback),Alice Sebold,/book/show/12232938-the-lovely-bones,372,Unlimited,15200.0,766000.0,3.86,2387322,2002
316,Paper Towns (Paperback),John Green,/book/show/6442769-paper-towns,305,8.99,23000.0,636000.0,3.71,1399182,2008
317,"Furyborn (Empirium, #1)",Claire Legrand,/book/show/34323570-furyborn,501,,5991.0,196000.0,3.8,51172,2018
318,"Neverwhere (London Below, #1)",Neil Gaiman,/book/show/14497.Neverwhere,370,9.99,19700.0,482000.0,4.17,541888,1996
319,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,/book/show/16101128-the-5th-wave,457,,14900.0,365000.0,4.01,463930,2013
320,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,/book/show/22733729-the-long-way-to-a-small-angry-planet,518,,12000.0,179000.0,4.18,157816,2014
321,American Psycho (Paperback),Bret Easton Ellis,/book/show/28676.American_Psycho,399,12.99,17200.0,386000.0,3.81,325768,1991
322,Layla (Kindle Edition),Colleen Hoover,/book/show/52089753-layla,305,Unlimited,44300.0,353000.0,3.64,506133,2020
323,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,/book/show/113436.Eragon,503,,20400.0,,3.95,1819200,2002
324,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,/book/show/43763.Interview_with_the_Vampire,346,,17300.0,305000.0,4.02,604434,1976
325,"The Host (The Host, #1)",Stephenie Meyer,/book/show/1656001.The_Host,624,8.99,12100.0,,3.86,1018958,2008
326,"A Million Kisses in Your Lifetime (Lancaster Prep, #2)",Monica  Murphy,/book/show/60306208-a-million-kisses-in-your-lifetime,552,,10500.0,190000.0,3.77,152514,2022
327,The Last House on Needless Street (Hardcover),Catriona Ward,/book/show/54621094-the-last-house-on-needless-street,335,Unlimited,8670.0,185000.0,3.85,107923,2021
328,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,/book/show/228665.The_Eye_of_the_World,800,,44500.0,360000.0,4.19,544945,1990
329,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,/book/show/40603587-the-last-wish,400,,45100.0,193000.0,4.13,367661,1993
330,"The Roommate (The Shameless Series, #1)",Rosie Danan,/book/show/45023611-the-roommate,325,,5139.0,132000.0,3.55,124842,2020
331,The Fault in Our Stars (Hardcover),John Green,/book/show/11870085-the-fault-in-our-stars,313,9.99,67000.0,,4.13,5290640,2012
332,"Secretly Yours (A Vine Mess, #1)",Tessa Bailey,/book/show/61109599-secretly-yours,384,10.99,5217.0,171000.0,3.28,125650,2023
333,"Really Good, Actually (Hardcover)",Monica Heisey,/book/show/60877616-really-good-actually,370,Unlimited,7112.0,175000.0,3.15,92583,2023
334,"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,/book/show/48829708-to-sleep-in-a-sea-of-stars,880,,11100.0,209000.0,3.8,61976,2020
335,"Addicted to You (Addicted, #1)",Krista Ritchie,/book/show/55475442-addicted-to-you,335,,10200.0,268000.0,3.74,161717,2013
336,"The Wisteria Society of Lady Scoundrels (Dangerous Damsels, #1)",India Holton,/book/show/55502861-the-wisteria-society-of-lady-scoundrels,324,,4360.0,108000.0,3.67,41954,2021
337,"Vicious (Villains, #1)",Victoria Schwab,/book/show/40874032-vicious,402,,14900.0,514000.0,4.2,261135,2013
338,"Wallbanger (Cocktail, #1)",Alice Clayton,/book/show/15858248-wallbanger,384,,4520.0,162000.0,3.98,209512,2012
339,"My Brilliant Friend (The Neapolitan Novels, #1)",Elena Ferrante,/book/show/35036409-my-brilliant-friend,331,,35500.0,345000.0,4.05,363942,2011
340,"King's Cage (Red Queen, #3)",Victoria Aveyard,/book/show/35072205-king-s-cage,700,,13600.0,4982.0,3.9,263106,2017
341,An Enchantment of Ravens (Hardcover),Margaret  Rogerson,/book/show/30969741-an-enchantment-of-ravens,304,9.99,3322.0,167000.0,3.65,98818,2017
342,The Perks of Being a Wallflower (Paperback),Stephen Chbosky,/book/show/22628.The_Perks_of_Being_a_Wallflower,213,11.99,33100.0,28200.0,4.23,1849008,1999
343,"The Diviners (The Diviners, #1)",Libba Bray,/book/show/7728889-the-diviners,578,,3544.0,193000.0,3.94,99579,2012
344,I'll Give You the Sun (Hardcover),Jandy Nelson,/book/show/20820994-i-ll-give-you-the-sun,371,9.99,9820.0,513000.0,4.16,342414,2014
345,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,/book/show/42899.Dark_Lover,393,,9447.0,284000.0,4.16,340783,2005
346,Her Body and Other Parties: Stories (Paperback),Carmen Maria Machado,/book/show/33375622-her-body-and-other-parties,248,Unlimited,9273.0,194000.0,3.84,94127,2017
347,You Deserve Each Other (Kindle Edition),Sarah Hogle,/book/show/50027029-you-deserve-each-other,368,12.99,3449.0,226000.0,3.91,117663,2020
348,Klara and the Sun (Hardcover),Kazuo Ishiguro,/book/show/54120408-klara-and-the-sun,303,13.99,26200.0,386000.0,3.75,362851,2021
349,Becoming (Hardcover),Michelle Obama,/book/show/38746485-becoming,426,12.99,101000.0,,4.45,1087631,2018
350,Spinning Silver (Kindle Edition),Naomi Novik,/book/show/36896898-spinning-silver,465,14.99,7077.0,178000.0,4.19,135122,2018
351,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,/book/show/29056083-harry-potter-and-the-cursed-child,343,Unlimited,36400.0,468000.0,3.48,1051704,2016
352,"Everyone in My Family Has Killed Someone (Ernest Cunningham, #1)",Benjamin   Stevenson,/book/show/60879779-everyone-in-my-family-has-killed-someone,371,12.99,11000.0,223000.0,3.79,138107,2022
353,The Maidens (Hardcover),Alex Michaelides,/book/show/45300567-the-maidens,337,9.99,13800.0,401000.0,3.62,364830,2021
354,"Her Soul to Take (Souls Trilogy, #1)",Harley Laroux,/book/show/57091457-her-soul-to-take,493,,14600.0,169000.0,4.07,83471,2021
355,"Better than the Movies (Better than the Movies, #1)",Lynn Painter,/book/show/55710822-better-than-the-movies,356,9.99,20100.0,580000.0,4.29,462023,2021
356,The Perfect Marriage (Paperback),Jeneva Rose,/book/show/53450790-the-perfect-marriage,337,Unlimited,66800.0,554000.0,3.97,786564,2020
357,Dark Matter (Hardcover),Blake Crouch,/book/show/27833670-dark-matter,342,12.99,24300.0,628000.0,4.14,564619,2016
358,The Wall of Winnipeg and Me (Kindle Edition),Mariana Zapata,/book/show/29367958-the-wall-of-winnipeg-and-me,475,Unlimited,7275.0,200000.0,4.19,271988,2016
359,Cleopatra and Frankenstein (Hardcover),Coco Mellors,/book/show/57693262-cleopatra-and-frankenstein,384,8.20,14300.0,333000.0,3.74,143816,2022
360,"Wildfire (Maple Hills, #2)",Hannah  Grace,/book/show/101145836-wildfire,383,,24500.0,306000.0,3.86,303784,2023
361,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,/book/show/6304335-beautiful-creatures,563,,10700.0,375000.0,3.77,606074,2009
362,To Kill a Mockingbird (Paperback),Harper Lee,/book/show/2657.To_Kill_a_Mockingbird,323,,87900.0,2000000.0,4.26,6319920,1960
363,"Brutal Prince (Brutal Birthright, #1)",Sophie Lark,/book/show/195580026-brutal-prince,376,,21800.0,178000.0,3.77,160702,2020
364,"Binding 13 (Boys of Tommen, #1)",Chloe Walsh,/book/show/40944965-binding-13,887,Unlimited,20000.0,276000.0,4.43,194098,2018
365,Conversations with Friends (Kindle Edition),Sally Rooney,/book/show/32187419-conversations-with-friends,304,9.99,21000.0,407000.0,3.75,508875,2017
366,The Troop (Hardcover),Nick Cutter,/book/show/17571466-the-troop,407,9.99,7172.0,174000.0,3.84,93389,2014
367,"God of Malice (Legacy of Gods, #1)",Rina Kent,/book/show/208415817-god-of-malice,462,,20600.0,143000.0,3.96,119392,2022
368,"The Deal (Off-Campus, #1)",Elle Kennedy,/book/show/45484397-the-deal,360,,27000.0,506000.0,4.23,797313,2015
369,"Carry On (Simon Snow, #1)",Rainbow Rowell,/book/show/32768522-carry-on,522,,8215.0,317000.0,4.17,319351,2015
370,"A Winter's Promise (The Mirror Visitor, #1)",Christelle Dabos,/book/show/40969531-a-winter-s-promise,446,,7421.0,173000.0,4.02,105745,2013
371,"After (After, #1)",Anna Todd,/book/show/22557520-after,582,,18500.0,165000.0,3.72,343137,2014
372,Bride (Kindle Edition),Ali Hazelwood,/book/show/181344829-bride,410,12.99,14400.0,356000.0,4.03,376790,2024
373,One Day in December (Paperback),Josie Silver,/book/show/38255337-one-day-in-december,393,6.99,18300.0,275000.0,3.85,315527,2018
